Index_disease	Index_disease_id	Associated_disease	Associated_disease_id	Co-mentions
Leukemia	MESH:D007938	Glycogen Storage Disease Type II	MESH:D006009	12
Leukemia	MESH:D007938	Composite Lymphoma	MESH:D058617	12
Leukemia	MESH:D007938	Legionnaires' Disease	MESH:D007877	12
Leukemia	MESH:D007938	Enterocolitis, Pseudomembranous	MESH:D004761	12
Leukemia	MESH:D007938	Child Development Disorders, Pervasive	MESH:D002659	12
Leukemia	MESH:D007938	Panniculitis	MESH:D015434	12
Leukemia	MESH:D007938	Hypothermia	MESH:D007035	12
Leukemia	MESH:D007938	Muscle Hypotonia	MESH:D009123	12
Leukemia	MESH:D007938	Pulmonary Eosinophilia	MESH:D011657	12
Leukemia	MESH:D007938	Lateral Medullary Syndrome	MESH:D014854	12
Leukemia	MESH:D007938	Van der Woude syndrome	MESH:C536528	12
Leukemia	MESH:D007938	Neurosyphilis	MESH:D009494	12
Leukemia	MESH:D007938	Drug Hypersensitivity	MESH:D004342	12
Leukemia	MESH:D007938	Lipase deficiency combined	MESH:C535904	12
Leukemia	MESH:D007938	Digestive System Diseases	MESH:D004066	12
Leukemia	MESH:D007938	Xanthomatosis	MESH:D014973	12
Leukemia	MESH:D007938	Myxoma	MESH:D009232	12
Leukemia	MESH:D007938		OMIM:266200	12
Leukemia	MESH:D007938	Ileus	MESH:D045823	12
Leukemia	MESH:D007938		OMIM:613158	12
Leukemia	MESH:D007938	Anemia, Hypoplastic, Congenital	MESH:D029502	12
Leukemia	MESH:D007938	Paget's Disease, Mammary	MESH:D010144	12
Leukemia	MESH:D007938	Lung Abscess	MESH:D008169	12
Leukemia	MESH:D007938	AIDS Dementia Complex	MESH:D015526	12
Lymphoma	MESH:D008223	Sleep Apnea, Obstructive	MESH:D020181	12
Lymphoma	MESH:D008223	Sick Sinus Syndrome	MESH:D012804	12
Lymphoma	MESH:D008223	Depressive Disorder, Treatment-Resistant	MESH:D061218	12
Lymphoma	MESH:D008223	Salivary Gland Calculi	MESH:D015494	12
Lymphoma	MESH:D008223	Diabetes Insipidus, Neurogenic	MESH:D020790	12
Lymphoma	MESH:D008223	Pemphigoid, Bullous	MESH:D010391	12
Lymphoma	MESH:D008223	Nerve Compression Syndromes	MESH:D009408	12
Lymphoma	MESH:D008223	Hypercholesterolemia	MESH:D006937	12
Lymphoma	MESH:D008223	Chondroblastoma	MESH:D002804	12
Lymphoma	MESH:D008223	Vertebral Artery Dissection	MESH:D020217	12
Lymphoma	MESH:D008223	Candidemia	MESH:D058387	12
Lymphoma	MESH:D008223	Dosage-sensitive sex reversal	MESH:C535601	12
Lymphoma	MESH:D008223	Acute Lung Injury	MESH:D055371	12
Lymphoma	MESH:D008223	Insulinoma	MESH:D007340	12
Lymphoma	MESH:D008223	Eosinophilic enteropathy	MESH:C535952	12
Lymphoma	MESH:D008223	Pneumonia, Pneumococcal	MESH:D011018	12
Lymphoma	MESH:D008223	Ventricular Outflow Obstruction	MESH:D014694	12
Lymphoma	MESH:D008223		OMIM:139393	12
Lymphoma	MESH:D008223	Malacoplakia	MESH:D008287	12
Lymphoma	MESH:D008223	Arteritis	MESH:D001167	12
Lymphoma	MESH:D008223	Emaciation	MESH:D004614	12
Lymphoma	MESH:D008223	Lower Urinary Tract Symptoms	MESH:D059411	12
Lymphoma	MESH:D008223	Discitis	MESH:D015299	12
Lymphoma	MESH:D008223	Brachial Plexus Neuropathies	MESH:D020516	12
Lymphoma	MESH:D008223	Parotitis	MESH:D010309	12
Lymphoma	MESH:D008223	Urogenital Abnormalities	MESH:D014564	12
Lymphoma	MESH:D008223	Granuloma, Giant Cell	MESH:D006101	12
Lymphoma	MESH:D008223	Failure to Thrive	MESH:D005183	12
Lymphoma	MESH:D008223	Langerhans Cell Sarcoma	MESH:D054752	12
Lymphoma	MESH:D008223	Encephalomyelitis	MESH:D004679	12
Lymphoma	MESH:D008223	Sweet Syndrome	MESH:D016463	12
Lymphoma	MESH:D008223	Hip Dislocation	MESH:D006617	12
Lymphoma	MESH:D008223	Nasal Polyps	MESH:D009298	12
Lymphoma	MESH:D008223	Hereditary Central Nervous System Demyelinating Diseases	MESH:D020279	12
Lymphoma	MESH:D008223	Adenocarcinoma, Sebaceous	MESH:D018266	12
Lymphoma	MESH:D008223	Keratoacanthoma	MESH:D007636	12
Lymphoma	MESH:D008223	Glomerulosclerosis, Focal Segmental	MESH:D005923	12
Lymphoma	MESH:D008223	beta-Thalassemia	MESH:D017086	12
Lymphoma	MESH:D008223	T-cell lymphoma 1A	MESH:C536782	12
Lymphoma	MESH:D008223	Retinitis Pigmentosa	MESH:D012174	12
Lymphoma	MESH:D008223	Periodontal Diseases	MESH:D010510	12
Lymphoma	MESH:D008223	Adrenocortical Hyperfunction	MESH:D000308	12
Lymphoma	MESH:D008223	Meningitis, Pneumococcal	MESH:D008586	12
Lymphoma	MESH:D008223	Fibrous Dysplasia of Bone	MESH:D005357	12
Lymphoma	MESH:D008223	Eye Infections, Fungal	MESH:D015821	12
Lymphoma	MESH:D008223	Klinefelter Syndrome	MESH:D007713	12
Lymphoma	MESH:D008223	Gram-Positive Bacterial Infections	MESH:D016908	12
Lymphoma	MESH:D008223	Pulmonary Valve Stenosis	MESH:D011666	12
Lymphoma	MESH:D008223	Gingival Diseases	MESH:D005882	12
Lymphoma	MESH:D008223	Cystadenocarcinoma, Mucinous	MESH:D018282	12
Lymphoma	MESH:D008223	Hirschsprung Disease	MESH:D006627	12
Lymphoma	MESH:D008223	Heart Septal Defects, Atrial	MESH:D006344	12
Lymphoma	MESH:D008223	Delirium	MESH:D003693	12
Lymphoma	MESH:D008223	Abdominal cystic lymphangioma	MESH:C535553	12
Lymphoma	MESH:D008223	Hand Deformities	MESH:D006226	12
Lymphoma	MESH:D008223	Thrombasthenia	MESH:D013915	12
Lymphoma	MESH:D008223	Angina Pectoris	MESH:D000787	12
Lymphoma	MESH:D008223	Ichthyosis prematurity syndrome	MESH:C536271	12
Lymphoma	MESH:D008223	Encephalomyelitis, Acute Disseminated	MESH:D004673	12
Lymphoma	MESH:D008223	Mastitis	MESH:D008413	12
Lymphoma	MESH:D008223	Subphrenic Abscess	MESH:D013369	12
Lymphoma	MESH:D008223	Myasthenic Syndromes, Congenital	MESH:D020294	12
Lymphoma	MESH:D008223	Chlamydophila Infections	MESH:D023521	12
Lymphoma	MESH:D008223	Cysticercosis	MESH:D003551	12
Lymphoma	MESH:D008223	Moloney syndrome	MESH:C535810	12
Lymphoma	MESH:D008223	Plasma Cell Granuloma, Pulmonary	MESH:D016726	12
Lymphoma	MESH:D008223	Femoral Fractures	MESH:D005264	12
Lymphoma	MESH:D008223	Short Bowel Syndrome	MESH:D012778	12
Lymphoma	MESH:D008223	Zygomycosis	MESH:D020096	12
Multiple Myeloma	MESH:D009101	Chickenpox	MESH:D002644	12
Multiple Myeloma	MESH:D009101	Thoracic Diseases	MESH:D013896	12
Multiple Myeloma	MESH:D009101	Diabetes Mellitus, Type 1	MESH:D003922	12
Multiple Myeloma	MESH:D009101	Meningitis, Haemophilus	MESH:D008583	12
Multiple Myeloma	MESH:D009101	Adrenal Gland Neoplasms	MESH:D000310	12
Multiple Myeloma	MESH:D009101	Hashimoto Disease	MESH:D050031	12
Multiple Myeloma	MESH:D009101	Exocrine Pancreatic Insufficiency	MESH:D010188	12
Multiple Myeloma	MESH:D009101	Keratosis palmoplantaris with periodontopathia and onychogryposis	MESH:C537627	12
Multiple Myeloma	MESH:D009101	Blepharoptosis	MESH:D001763	12
Multiple Myeloma	MESH:D009101	Orbital lymphoma	MESH:C537131	12
Multiple Myeloma	MESH:D009101	Dyslipidemias	MESH:D050171	12
Multiple Myeloma	MESH:D009101	Conjunctival Diseases	MESH:D003229	12
Multiple Myeloma	MESH:D009101	Heredodegenerative Disorders, Nervous System	MESH:D020271	12
Multiple Myeloma	MESH:D009101	Arthritis, Psoriatic	MESH:D015535	12
Multiple Myeloma	MESH:D009101	Nephritis	MESH:D009393	12
Multiple Myeloma	MESH:D009101	Retinal Vein Occlusion	MESH:D012170	12
Multiple Myeloma	MESH:D009101	Retinitis Pigmentosa	MESH:D012174	12
Multiple Myeloma	MESH:D009101	Leukemia, Prolymphocytic, T-Cell	MESH:D015461	12
Multiple Myeloma	MESH:D009101		OMIM:203650	12
Multiple Myeloma	MESH:D009101	Cavernous Sinus Thrombosis	MESH:D020226	12
Multiple Myeloma	MESH:D009101	Ventricular Dysfunction, Left	MESH:D018487	12
Multiple Myeloma	MESH:D009101	DNA Repair-Deficiency Disorders	MESH:D049914	12
Multiple Myeloma	MESH:D009101	Laryngeal Diseases	MESH:D007818	12
Multiple Myeloma	MESH:D009101	Mandibular Diseases	MESH:D008336	12
Multiple Myeloma	MESH:D009101	Osteolysis, Essential	MESH:D010015	12
Multiple Myeloma	MESH:D009101		OMIM:164160	12
Multiple Myeloma	MESH:D009101	Carcinoma, Ductal, Breast	MESH:D018270	12
Multiple Myeloma	MESH:D009101	Hyperemia	MESH:D006940	12
Multiple Myeloma	MESH:D009101	Peripheral Vascular Diseases	MESH:D016491	12
Multiple Myeloma	MESH:D009101	Pemphigus	MESH:D010392	12
Multiple Myeloma	MESH:D009101	Meningitis, Pneumococcal	MESH:D008586	12
Multiple Myeloma	MESH:D009101	Morning Sickness	MESH:D048968	12
Multiple Myeloma	MESH:D009101	Intestinal Neoplasms	MESH:D007414	12
Multiple Myeloma	MESH:D009101	Sinusitis	MESH:D012852	12
Multiple Myeloma	MESH:D009101	Pyelonephritis	MESH:D011704	12
Multiple Myeloma	MESH:D009101	Stomach Ulcer	MESH:D013276	12
Multiple Myeloma	MESH:D009101	Osteoradionecrosis	MESH:D010025	12
Multiple Myeloma	MESH:D009101	Cholestasis	MESH:D002779	12
Multiple Myeloma	MESH:D009101	Abdominal Neoplasms	MESH:D000008	12
Multiple Myeloma	MESH:D009101		OMIM:600002	12
Multiple Myeloma	MESH:D009101	Pleurodynia, Epidemic	MESH:D011000	12
Multiple Myeloma	MESH:D009101	Leiomyosarcoma	MESH:D007890	12
Leukemia	MESH:D007938	Uveomeningoencephalitic Syndrome	MESH:D014607	11
Leukemia	MESH:D007938	Biliary Tract Neoplasms	MESH:D001661	11
Leukemia	MESH:D007938	Myasthenic Syndromes, Congenital	MESH:D020294	11
Leukemia	MESH:D007938	Femoral Neck Fractures	MESH:D005265	11
Leukemia	MESH:D007938	Hepatitis A	MESH:D006506	11
Leukemia	MESH:D007938	Glycosylphosphatidylinositol deficiency	MESH:C537277	11
Leukemia	MESH:D007938	Bell Palsy	MESH:D020330	11
Leukemia	MESH:D007938	Arthritis, Psoriatic	MESH:D015535	11
Leukemia	MESH:D007938	Brucellosis	MESH:D002006	11
Leukemia	MESH:D007938	Autoimmune polyendocrinopathy syndrome, type 1	MESH:C538275	11
Leukemia	MESH:D007938	Hamartoma	MESH:D006222	11
Leukemia	MESH:D007938	Neuroma, Acoustic	MESH:D009464	11
Leukemia	MESH:D007938	Mobility Limitation	MESH:D051346	11
Leukemia	MESH:D007938	Androgen-Insensitivity Syndrome	MESH:D013734	11
Leukemia	MESH:D007938	AIDS-Related Complex	MESH:D000386	11
Leukemia	MESH:D007938	Uterine Cervical Dysplasia	MESH:D002578	11
Leukemia	MESH:D007938	Adenocarcinoma, Mucinous	MESH:D002288	11
Leukemia	MESH:D007938	Ovarian Cysts	MESH:D010048	11
Leukemia	MESH:D007938	Reflex, Abnormal	MESH:D012021	11
Leukemia	MESH:D007938	Liver Cirrhosis, Biliary	MESH:D008105	11
Leukemia	MESH:D007938	Diphtheria	MESH:D004165	11
Leukemia	MESH:D007938	Carotid Artery Thrombosis	MESH:D002341	11
Leukemia	MESH:D007938	Cystitis	MESH:D003556	11
Leukemia	MESH:D007938	Duodenal Ulcer	MESH:D004381	11
Leukemia	MESH:D007938	Photophobia	MESH:D020795	11
Leukemia	MESH:D007938	Endocarditis, Bacterial	MESH:D004697	11
Leukemia	MESH:D007938	Remission, Spontaneous	MESH:D012075	11
Leukemia	MESH:D007938	Leprosy	MESH:D007918	11
Leukemia	MESH:D007938		OMIM:300755	11
Leukemia	MESH:D007938	Hypomagnesemia primary	MESH:C537153	11
Leukemia	MESH:D007938	Long QT Syndrome	MESH:D008133	11
Leukemia	MESH:D007938	Supratentorial Neoplasms	MESH:D015173	11
Leukemia	MESH:D007938	Corneal Diseases	MESH:D003316	11
Leukemia	MESH:D007938	Genital Diseases, Female	MESH:D005831	11
Leukemia	MESH:D007938	Conjunctival Diseases	MESH:D003229	11
Leukemia	MESH:D007938	Submandibular Gland Neoplasms	MESH:D013365	11
Leukemia	MESH:D007938	Cholecystitis	MESH:D002764	11
Leukemia	MESH:D007938	Congenital amegakaryocytic thrombocytopenia	MESH:C535982	11
Leukemia	MESH:D007938	Carcinoma, Medullary	MESH:D018276	11
Leukemia	MESH:D007938	Acne Vulgaris	MESH:D000152	11
Leukemia	MESH:D007938	Embolism	MESH:D004617	11
Leukemia	MESH:D007938	Retinal Artery Occlusion	MESH:D015356	11
Leukemia	MESH:D007938	Vulvar Neoplasms	MESH:D014846	11
Leukemia	MESH:D007938	Protein-Energy Malnutrition	MESH:D011502	11
Leukemia	MESH:D007938	Hyperinsulinism	MESH:D006946	11
Leukemia	MESH:D007938	Craniofacial Abnormalities	MESH:D019465	11
Leukemia	MESH:D007938	Pleural Effusion	MESH:D010996	11
Leukemia	MESH:D007938	Systemic Inflammatory Response Syndrome	MESH:D018746	11
Leukemia	MESH:D007938	Reticuloendotheliosis, X-linked	MESH:C538362	11
Leukemia	MESH:D007938	Endocrine Gland Neoplasms	MESH:D004701	11
Leukemia	MESH:D007938	Blepharoptosis	MESH:D001763	11
Leukemia	MESH:D007938	Abnormalities, Drug-Induced	MESH:D000014	11
Leukemia	MESH:D007938	Cavernous Sinus Thrombosis	MESH:D020226	11
Leukemia	MESH:D007938	Hydronephrosis	MESH:D006869	11
Leukemia	MESH:D007938	Gestational Trophoblastic Disease	MESH:D031901	11
Leukemia	MESH:D007938	Retinal Vein Occlusion	MESH:D012170	11
Leukemia	MESH:D007938	Phenylketonurias	MESH:D010661	11
Leukemia	MESH:D007938		OMIM:609981	11
Leukemia	MESH:D007938	Limb Deformities, Congenital	MESH:D017880	11
Leukemia	MESH:D007938	Fragile X Syndrome	MESH:D005600	11
Leukemia	MESH:D007938	Stomatitis, Herpetic	MESH:D013283	11
Leukemia	MESH:D007938	Trypanosomiasis	MESH:D014352	11
Leukemia	MESH:D007938	Osteoarthritis, Hip	MESH:D015207	11
Leukemia	MESH:D007938	Osteoma	MESH:D010016	11
Leukemia	MESH:D007938	Lateral Sinus Thrombosis	MESH:D020227	11
Leukemia	MESH:D007938	Hypoalphalipoproteinemias	MESH:D052456	11
Leukemia	MESH:D007938	Trichosporonosis	MESH:D060586	11
Leukemia	MESH:D007938	Dermatitis, Perioral	MESH:D019557	11
Leukemia	MESH:D007938	Urticaria Pigmentosa	MESH:D014582	11
Leukemia	MESH:D007938	Cryptosporidiosis	MESH:D003457	11
Lymphoma	MESH:D008223	Glioma, Subependymal	MESH:D018315	11
Lymphoma	MESH:D008223	Lymphatic Abnormalities	MESH:D044148	11
Lymphoma	MESH:D008223	Lateral Sinus Thrombosis	MESH:D020227	11
Lymphoma	MESH:D008223	Acrodermatitis	MESH:D000169	11
Lymphoma	MESH:D008223	Oligospermia	MESH:D009845	11
Lymphoma	MESH:D008223	Aphasia, Broca	MESH:D001039	11
Lymphoma	MESH:D008223	Adenocarcinoma, Papillary	MESH:D000231	11
Lymphoma	MESH:D008223	Paraganglioma, Extra-Adrenal	MESH:D010236	11
Lymphoma	MESH:D008223	Coffin-Lowry Syndrome	MESH:D038921	11
Lymphoma	MESH:D008223	Scleral Diseases	MESH:D015422	11
Lymphoma	MESH:D008223	Duodenitis	MESH:D004382	11
Lymphoma	MESH:D008223	Upper Extremity Deep Vein Thrombosis	MESH:D056824	11
Lymphoma	MESH:D008223	Leprosy, Paucibacillary	MESH:D056005	11
Lymphoma	MESH:D008223	Androgen-Insensitivity Syndrome	MESH:D013734	11
Lymphoma	MESH:D008223	Malformations of Cortical Development	MESH:D054220	11
Lymphoma	MESH:D008223	Arachnoid Cysts	MESH:D016080	11
Lymphoma	MESH:D008223	Spondylitis	MESH:D013166	11
Lymphoma	MESH:D008223	Fatigue Syndrome, Chronic	MESH:D015673	11
Lymphoma	MESH:D008223	Bartonella Infections	MESH:D001474	11
Lymphoma	MESH:D008223	Phenylketonurias	MESH:D010661	11
Lymphoma	MESH:D008223	Heart Injuries	MESH:D006335	11
Lymphoma	MESH:D008223	Chondrosarcoma, Mesenchymal	MESH:D018211	11
Lymphoma	MESH:D008223	Retinal Perforations	MESH:D012167	11
Lymphoma	MESH:D008223	Alopecia Areata	MESH:D000506	11
Lymphoma	MESH:D008223	Hemoglobin SC Disease	MESH:D006450	11
Lymphoma	MESH:D008223	Prurigo	MESH:D011536	11
Lymphoma	MESH:D008223	Chromosome 5q Deletion Syndrome	MESH:C535323	11
Lymphoma	MESH:D008223	Anemia, Megaloblastic	MESH:D000749	11
Lymphoma	MESH:D008223	Thiamine Deficiency	MESH:D013832	11
Lymphoma	MESH:D008223	Leydig Cell Tumor	MESH:D007984	11
Lymphoma	MESH:D008223	Proteostasis Deficiencies	MESH:D057165	11
Lymphoma	MESH:D008223	Anaphylaxis	MESH:D000707	11
Lymphoma	MESH:D008223	Deafness	MESH:D003638	11
Lymphoma	MESH:D008223	Aneurysm, False	MESH:D017541	11
Lymphoma	MESH:D008223	Acromegaly	MESH:D000172	11
Lymphoma	MESH:D008223	Pancoast Syndrome	MESH:D010178	11
Lymphoma	MESH:D008223	Plaque, Atherosclerotic	MESH:D058226	11
Lymphoma	MESH:D008223	Odontogenic Tumors	MESH:D009808	11
Lymphoma	MESH:D008223	Meningitis, Viral	MESH:D008587	11
Lymphoma	MESH:D008223	Autoimmune polyendocrinopathy syndrome, type 1	MESH:C538275	11
Lymphoma	MESH:D008223	Synovitis	MESH:D013585	11
Lymphoma	MESH:D008223	Osteoporosis, Postmenopausal	MESH:D015663	11
Lymphoma	MESH:D008223	Perivascular Epithelioid Cell Neoplasms	MESH:D054973	11
Lymphoma	MESH:D008223	Dental Pulp Necrosis	MESH:D003790	11
Lymphoma	MESH:D008223	Maxillofacial Abnormalities	MESH:D019767	11
Lymphoma	MESH:D008223	Hyper-IgM Immunodeficiency Syndrome, Type 1	MESH:D053307	11
Lymphoma	MESH:D008223	Femoral Neck Fractures	MESH:D005265	11
Lymphoma	MESH:D008223	Hemangioma, Cavernous, Central Nervous System	MESH:D020786	11
Lymphoma	MESH:D008223	Urinary Bladder Neck Obstruction	MESH:D001748	11
Lymphoma	MESH:D008223	Body Weight	MESH:D001835	11
Lymphoma	MESH:D008223		OMIM:306400	11
Lymphoma	MESH:D008223	Xeroderma Pigmentosum	MESH:D014983	11
Lymphoma	MESH:D008223	Retroperitoneal liposarcoma	MESH:C538370	11
Lymphoma	MESH:D008223	Tracheoesophageal Fistula	MESH:D014138	11
Lymphoma	MESH:D008223	Esophageal Motility Disorders	MESH:D015154	11
Lymphoma	MESH:D008223	Atrial Premature Complexes	MESH:D018880	11
Lymphoma	MESH:D008223		OMIM:226650	11
Lymphoma	MESH:D008223	Dysphonia	MESH:D055154	11
Lymphoma	MESH:D008223	Prolactinoma	MESH:D015175	11
Lymphoma	MESH:D008223	NOG-Related-Symphalangism Spectrum Disorder	MESH:C536943	11
Lymphoma	MESH:D008223	Renal Artery Obstruction	MESH:D012078	11
Lymphoma	MESH:D008223	Osteitis Deformans	MESH:D010001	11
Lymphoma	MESH:D008223	Jejunal Diseases	MESH:D007579	11
Lymphoma	MESH:D008223	Salmonella Infections	MESH:D012480	11
Lymphoma	MESH:D008223	Arthropathy, progressive pseudorheumatoid, of childhood	MESH:C535387	11
Lymphoma	MESH:D008223	Thrombophlebitis	MESH:D013924	11
Lymphoma	MESH:D008223		OMIM:300645	11
Lymphoma	MESH:D008223	Acne Vulgaris	MESH:D000152	11
Lymphoma	MESH:D008223	Adenoma, Bile Duct	MESH:D002759	11
Lymphoma	MESH:D008223	Ichthyosis, X-Linked	MESH:D016114	11
Lymphoma	MESH:D008223	Jaw Neoplasms	MESH:D007573	11
Lymphoma	MESH:D008223	Echinococcosis	MESH:D004443	11
Lymphoma	MESH:D008223		OMIM:115080	11
Multiple Myeloma	MESH:D009101	Afibrinogenemia	MESH:D000347	11
Multiple Myeloma	MESH:D009101	Pathological Conditions, Signs and Symptoms	MESH:D013568	11
Multiple Myeloma	MESH:D009101	Hip Dislocation	MESH:D006617	11
Multiple Myeloma	MESH:D009101	MASS syndrome	MESH:C536030	11
Multiple Myeloma	MESH:D009101	Cholestasis, Intrahepatic	MESH:D002780	11
Multiple Myeloma	MESH:D009101	Pituitary Diseases	MESH:D010900	11
Multiple Myeloma	MESH:D009101	Hypertension, Portal	MESH:D006975	11
Multiple Myeloma	MESH:D009101	Scheuermann Disease	MESH:D012544	11
Multiple Myeloma	MESH:D009101	Enteritis	MESH:D004751	11
Multiple Myeloma	MESH:D009101	Encephalitis	MESH:D004660	11
Multiple Myeloma	MESH:D009101	Lung Diseases, Fungal	MESH:D008172	11
Multiple Myeloma	MESH:D009101	Mucormycosis	MESH:D009091	11
Multiple Myeloma	MESH:D009101	Chronobiology Disorders	MESH:D021081	11
Multiple Myeloma	MESH:D009101	Leukoencephalopathies	MESH:D056784	11
Multiple Myeloma	MESH:D009101	Megalencephalic leukoencephalopathy with subcortical cysts	MESH:C536141	11
Multiple Myeloma	MESH:D009101	Actinomycosis	MESH:D000196	11
Multiple Myeloma	MESH:D009101	Kidney Diseases, Cystic	MESH:D052177	11
Multiple Myeloma	MESH:D009101	Memory Disorders	MESH:D008569	11
Multiple Myeloma	MESH:D009101	Frasier Syndrome	MESH:D052159	11
Multiple Myeloma	MESH:D009101	Albuminuria	MESH:D000419	11
Multiple Myeloma	MESH:D009101	Rhabdomyosarcoma of the orbit	MESH:C537605	11
Multiple Myeloma	MESH:D009101	Thyrotoxicosis	MESH:D013971	11
Multiple Myeloma	MESH:D009101	Gout	MESH:D006073	11
Multiple Myeloma	MESH:D009101	Pulmonary Heart Disease	MESH:D011660	11
Multiple Myeloma	MESH:D009101	Proteostasis Deficiencies	MESH:D057165	11
Multiple Myeloma	MESH:D009101	Rhabdomyolysis	MESH:D012206	11
Multiple Myeloma	MESH:D009101	Multiple Pulmonary Nodules	MESH:D055613	11
Multiple Myeloma	MESH:D009101	Tongue Neoplasms	MESH:D014062	11
Multiple Myeloma	MESH:D009101	Soft Tissue Neoplasms	MESH:D012983	11
Multiple Myeloma	MESH:D009101	Mucocutaneous Lymph Node Syndrome	MESH:D009080	11
Multiple Myeloma	MESH:D009101	Testicular Diseases	MESH:D013733	11
Multiple Myeloma	MESH:D009101	Digestive System Neoplasms	MESH:D004067	11
Multiple Myeloma	MESH:D009101	Raynaud Disease	MESH:D011928	11
Multiple Myeloma	MESH:D009101	Pleurisy	MESH:D010998	11
Multiple Myeloma	MESH:D009101	Critical Illness	MESH:D016638	11
Multiple Myeloma	MESH:D009101	Emphysema	MESH:D004646	11
Multiple Myeloma	MESH:D009101	Mitral Valve Insufficiency	MESH:D008944	11
Multiple Myeloma	MESH:D009101	Papilledema	MESH:D010211	11
Multiple Myeloma	MESH:D009101		OMIM:608035	11
Multiple Myeloma	MESH:D009101	Dementia	MESH:D003704	11
Multiple Myeloma	MESH:D009101	Hematemesis	MESH:D006396	11
Multiple Myeloma	MESH:D009101	Anauxetic dysplasia	MESH:C538256	11
Multiple Myeloma	MESH:D009101	Peritoneal Fibrosis	MESH:D056627	11
Multiple Myeloma	MESH:D009101	Carcinoma, Medullary	MESH:D018276	11
Multiple Myeloma	MESH:D009101	Urogenital Neoplasms	MESH:D014565	11
Multiple Myeloma	MESH:D009101	Meningitis, Bacterial	MESH:D016920	11
Multiple Myeloma	MESH:D009101	Chondroma	MESH:D002812	11
Multiple Myeloma	MESH:D009101	Polymyalgia Rheumatica	MESH:D011111	11
Multiple Myeloma	MESH:D009101	Parasitic Diseases	MESH:D010272	11
Multiple Myeloma	MESH:D009101	Familial apoceruloplasmin deficiency	MESH:C536004	11
Multiple Myeloma	MESH:D009101	Hypersensitivity, Delayed	MESH:D006968	11
Multiple Myeloma	MESH:D009101	Seminoma	MESH:D018239	11
Multiple Myeloma	MESH:D009101	Oropharyngeal Neoplasms	MESH:D009959	11
Multiple Myeloma	MESH:D009101	Kotzot-Richter syndrome	MESH:C537025	11
Multiple Myeloma	MESH:D009101	Leukemia, Basophilic, Acute	MESH:D015471	11
Leukemia	MESH:D007938	Dysentery	MESH:D004403	10
Leukemia	MESH:D007938	Coronavirus Infections	MESH:D018352	10
Leukemia	MESH:D007938	Anophthalmos	MESH:D000853	10
Leukemia	MESH:D007938		OMIM:194470	10
Leukemia	MESH:D007938	Hyperhomocysteinemia	MESH:D020138	10
Leukemia	MESH:D007938	Hemophilia B	MESH:D002836	10
Leukemia	MESH:D007938	Infant Nutrition Disorders	MESH:D007228	10
Leukemia	MESH:D007938	Bipolar Disorder	MESH:D001714	10
Leukemia	MESH:D007938	Spinal Diseases	MESH:D013122	10
Leukemia	MESH:D007938		OMIM:176430	10
Leukemia	MESH:D007938	Abnormalities, Radiation-Induced	MESH:D000016	10
Leukemia	MESH:D007938	Parathyroid Neoplasms	MESH:D010282	10
Leukemia	MESH:D007938	Nasopharyngeal Diseases	MESH:D009302	10
Leukemia	MESH:D007938	Sjogren's Syndrome	MESH:D012859	10
Leukemia	MESH:D007938	Hematemesis	MESH:D006396	10
Leukemia	MESH:D007938	Pyelonephritis	MESH:D011704	10
Leukemia	MESH:D007938	Intussusception	MESH:D007443	10
Leukemia	MESH:D007938	Acute Radiation Syndrome	MESH:D054508	10
Leukemia	MESH:D007938	Autonomic Nervous System Diseases	MESH:D001342	10
Leukemia	MESH:D007938	Gallbladder Diseases	MESH:D005705	10
Leukemia	MESH:D007938	Pulmonary Blastoma	MESH:D018202	10
Leukemia	MESH:D007938	Carcinoma, Papillary	MESH:D002291	10
Leukemia	MESH:D007938	Anodontia	MESH:D000848	10
Leukemia	MESH:D007938	Familial Mediterranean Fever	MESH:D010505	10
Leukemia	MESH:D007938	Chronobiology Disorders	MESH:D021081	10
Leukemia	MESH:D007938	Immune Reconstitution Inflammatory Syndrome	MESH:D054019	10
Leukemia	MESH:D007938	Parotid Neoplasms	MESH:D010307	10
Leukemia	MESH:D007938	Encephalomyelitis, Acute Disseminated	MESH:D004673	10
Leukemia	MESH:D007938	Hypotrichosis	MESH:D007039	10
Leukemia	MESH:D007938	Rhabdomyolysis	MESH:D012206	10
Leukemia	MESH:D007938	Arsenic Poisoning	MESH:D020261	10
Leukemia	MESH:D007938	Calcinosis	MESH:D002114	10
Leukemia	MESH:D007938	Telangiectasis	MESH:D013684	10
Leukemia	MESH:D007938		OMIM:247640	10
Leukemia	MESH:D007938	Nephrosis, Lipoid	MESH:D009402	10
Leukemia	MESH:D007938	Corneal dystrophy Avellino type	MESH:C535474	10
Leukemia	MESH:D007938		MESH:C537078	10
Leukemia	MESH:D007938	Meningitis, Escherichia coli	MESH:D020814	10
Leukemia	MESH:D007938	Helicobacter Infections	MESH:D016481	10
Leukemia	MESH:D007938	Endometrial Hyperplasia	MESH:D004714	10
Leukemia	MESH:D007938	Cryptorchidism	MESH:D003456	10
Leukemia	MESH:D007938		OMIM:605714	10
Leukemia	MESH:D007938	Hepatitis D	MESH:D003699	10
Leukemia	MESH:D007938	Pelvic Neoplasms	MESH:D010386	10
Leukemia	MESH:D007938	Nephrotic syndrome, idiopathic, steroid-resistant	MESH:C536404	10
Leukemia	MESH:D007938	Cerebellar Neoplasms	MESH:D002528	10
